% DataCenterMapID 	Latitude	Longitude	InfoType	MappedFlag	Area	Provider	Country code	Subcontinental Zone code	City ID	City name	City Latitude	City Longitude	Information URL
1239	51.930946	4.414884	0	Yes	N/A	N/A	NL	EUW	2747891	Rotterdam	51.9225	4.47917	http://www.datacentermap.com/ajax/map.asp?id=1239a1
1240	52.396194	4.850007	0	Yes	N/A	N/A	NL	EUW	2759794	Amsterdam	52.37403	4.88969	http://www.datacentermap.com/ajax/map.asp?id=1240a1
1241	51.345222	12.392409	0	Yes	N/A	N/A	DE	EUW	2879139	Leipzig	51.33962	12.37129	http://www.datacentermap.com/ajax/map.asp?id=1241a1
1242	43.254353	2.913555	0	Yes	N/A	N/A	FR	EUW	2987914	Perpignan	42.69764	2.89541	http://www.datacentermap.com/ajax/map.asp?id=1242a1
1243	51.063576	3.115055	0	Yes	N/A	N/A	BE	EUW	2800931	Brugge	51.20892	3.22424	http://www.datacentermap.com/ajax/map.asp?id=1243a1
1244	49.45375	11.015236	0	Yes	N/A	N/A	DE	EUW	2923544	Furth	49.47593	10.98856	http://www.datacentermap.com/ajax/map.asp?id=1244a1
1245	46.590515	0.390916	0	Yes	N/A	N/A	FR	EUW	2972191	Tours	47.38333	0.68333	http://www.datacentermap.com/ajax/map.asp?id=1245a1
1246	43.709984	7.189597	0	Yes	N/A	N/A	FR	EUW	2990440	Nice	43.70313	7.26608	http://www.datacentermap.com/ajax/map.asp?id=1246a1
1247	43.341816	5.368748	0	Yes	N/A	N/A	FR	EUW	2995469	Marseille	43.29695	5.38107	http://www.datacentermap.com/ajax/map.asp?id=1247a1
1248	43.647118	1.425446	0	Yes	N/A	N/A	FR	EUW	2972315	Toulouse	43.60426	1.44367	http://www.datacentermap.com/ajax/map.asp?id=1248a1
1249	48.592842	7.79357	0	Yes	N/A	N/A	FR	EUW	2973783	Strasbourg	48.58342	7.74296	http://www.datacentermap.com/ajax/map.asp?id=1249a1
1250	45.49896	12.271122	0	Yes	N/A	N/A	IT	EUW	3173529	Mestre	45.49028	12.2425	http://www.datacentermap.com/ajax/map.asp?id=1250a1
1251	44.42915	8.857558	0	Yes	N/A	N/A	IT	EUW	3176219	Genova	44.40632	8.93386	http://www.datacentermap.com/ajax/map.asp?id=1251a1
1252	50.740326	7.068514	0	Yes	N/A	N/A	DE	EUW	2946447	Bonn	50.73333	7.1	http://www.datacentermap.com/ajax/map.asp?id=1252a1
1253	43.741295	11.204157	0	Yes	N/A	N/A	IT	EUW	3176959	Florence	43.76667	11.25	http://www.datacentermap.com/ajax/map.asp?id=1253a1
1254	52.123264	5.277683	0	Yes	N/A	N/A	NL	EUW	2759821	Amersfoort	52.155	5.3875	http://www.datacentermap.com/ajax/map.asp?id=1254a1
